21
21
|0|3|8|10|10|3|6|2|7|7|5|4|8|3|5|2|5|4|4|2|6|
|3|0|7|6|9|7|8|7|4|7|4|4|3|7|5|10|2|10|6|9|5|
|8|7|0|5|8|10|9|3|6|6|6|7|4|2|10|9|3|3|10|2|2|
|10|6|5|0|7|9|8|10|6|3|8|6|3|10|4|5|8|7|2|2|6|
|10|9|8|7|0|10|7|5|9|7|9|8|3|6|2|6|6|9|7|9|4|
|3|7|10|9|10|0|2|3|10|4|2|10|5|6|3|6|7|2|4|8|6|
|6|8|9|8|7|2|0|8|10|3|9|10|7|10|8|7|3|7|10|5|6|
|2|7|3|10|5|3|8|0|9|9|6|4|5|10|10|7|10|2|8|9|5|
|7|4|6|6|9|10|10|9|0|4|9|4|5|9|4|5|8|4|4|5|4|
|7|7|6|3|7|4|3|9|4|0|7|8|2|8|6|4|7|10|3|6|4|
|5|4|6|8|9|2|9|6|9|7|0|9|2|3|7|3|7|3|10|3|2|
|4|4|7|6|8|10|10|4|4|8|9|0|2|9|4|2|9|5|9|4|8|
|8|3|4|3|3|5|7|5|5|2|2|2|0|5|7|5|4|9|4|7|6|
|3|7|2|10|6|6|10|10|9|8|3|9|5|0|9|8|4|2|7|5|10|
|5|5|10|4|2|3|8|10|4|6|7|4|7|9|0|10|2|5|7|2|4|
|2|10|9|5|6|6|7|7|5|4|3|2|5|8|10|0|2|9|10|5|2|
|5|2|3|8|6|7|3|10|8|7|7|9|4|4|2|2|0|6|2|8|9|
|4|10|3|7|9|2|7|2|4|10|3|5|9|2|5|9|6|0|9|2|7|
|4|6|10|2|7|4|10|8|4|3|10|9|4|7|7|10|2|9|0|4|7|
|2|9|2|2|9|8|5|9|5|6|3|4|7|5|2|5|8|2|4|0|2|
|6|5|2|6|4|6|6|5|4|4|2|8|6|10|4|2|9|7|7|2|0|
