21
21
|0|4|7|6|5|3|9|6|5|10|10|4|10|8|10|3|9|4|2|7|7|
|4|0|4|6|8|6|8|6|10|9|2|10|7|6|9|9|7|9|10|4|3|
|7|4|0|7|10|4|8|10|4|2|7|8|8|6|3|6|5|9|4|10|3|
|6|6|7|0|8|7|7|10|3|6|3|9|8|10|8|2|9|2|3|8|5|
|5|8|10|8|0|4|7|5|2|3|10|8|3|6|7|3|6|3|10|10|6|
|3|6|4|7|4|0|10|5|8|5|10|7|7|7|2|4|4|9|9|4|5|
|9|8|8|7|7|10|0|6|3|6|10|9|3|3|9|6|3|6|2|2|5|
|6|6|10|10|5|5|6|0|3|10|4|9|5|7|3|10|5|5|8|5|5|
|5|10|4|3|2|8|3|3|0|3|9|5|5|10|6|2|7|4|4|3|10|
|10|9|2|6|3|5|6|10|3|0|6|8|4|7|6|3|2|8|6|10|2|
|10|2|7|3|10|10|10|4|9|6|0|8|7|10|10|4|8|2|4|3|8|
|4|10|8|9|8|7|9|9|5|8|8|0|2|7|8|7|3|8|10|4|6|
|10|7|8|8|3|7|3|5|5|4|7|2|0|5|2|3|9|7|4|5|4|
|8|6|6|10|6|7|3|7|10|7|10|7|5|0|3|10|8|3|10|9|5|
|10|9|3|8|7|2|9|3|6|6|10|8|2|3|0|3|10|8|4|6|9|
|3|9|6|2|3|4|6|10|2|3|4|7|3|10|3|0|3|7|7|7|6|
|9|7|5|9|6|4|3|5|7|2|8|3|9|8|10|3|0|10|8|10|3|
|4|9|9|2|3|9|6|5|4|8|2|8|7|3|8|7|10|0|5|8|8|
|2|10|4|3|10|9|2|8|4|6|4|10|4|10|4|7|8|5|0|4|6|
|7|4|10|8|10|4|2|5|3|10|3|4|5|9|6|7|10|8|4|0|4|
|7|3|3|5|6|5|5|5|10|2|8|6|4|5|9|6|3|8|6|4|0|
