16
16
|0|9|2|9|7|7|10|3|9|5|10|3|2|4|10|2|
|9|0|4|9|5|4|8|10|5|2|8|9|5|2|4|4|
|2|4|0|10|2|3|3|5|3|3|10|10|10|10|3|10|
|9|9|10|0|5|4|5|9|6|4|5|4|8|3|6|10|
|7|5|2|5|0|7|9|5|3|10|8|7|2|10|2|7|
|7|4|3|4|7|0|8|6|4|9|6|5|3|2|2|3|
|10|8|3|5|9|8|0|6|3|4|9|5|6|7|6|3|
|3|10|5|9|5|6|6|0|8|5|2|2|4|9|9|10|
|9|5|3|6|3|4|3|8|0|5|10|8|6|9|8|3|
|5|2|3|4|10|9|4|5|5|0|5|8|2|4|5|6|
|10|8|10|5|8|6|9|2|10|5|0|6|5|7|2|3|
|3|9|10|4|7|5|5|2|8|8|6|0|8|7|3|3|
|2|5|10|8|2|3|6|4|6|2|5|8|0|10|4|5|
|4|2|10|3|10|2|7|9|9|4|7|7|10|0|10|4|
|10|4|3|6|2|2|6|9|8|5|2|3|4|10|0|8|
|2|4|10|10|7|3|3|10|3|6|3|3|5|4|8|0|

