16
16
|0|6|6|8|4|3|5|2|6|8|7|2|9|6|3|6|
|6|0|8|2|10|7|6|4|8|10|8|4|4|6|5|2|
|6|8|0|10|4|9|8|7|8|9|7|9|8|6|7|2|
|8|2|10|0|8|2|6|9|7|6|2|7|7|3|4|3|
|4|10|4|8|0|5|6|5|7|7|6|9|2|9|6|8|
|3|7|9|2|5|0|10|8|9|3|2|4|7|4|9|2|
|5|6|8|6|6|10|0|7|3|9|9|7|4|2|2|4|
|2|4|7|9|5|8|7|0|8|7|5|7|7|3|3|8|
|6|8|8|7|7|9|3|8|0|5|9|10|5|7|7|4|
|8|10|9|6|7|3|9|7|5|0|2|3|10|3|6|6|
|7|8|7|2|6|2|9|5|9|2|0|4|9|6|2|10|
|2|4|9|7|9|4|7|7|10|3|4|0|6|2|6|6|
|9|4|8|7|2|7|4|7|5|10|9|6|0|7|8|2|
|6|6|6|3|9|4|2|3|7|3|6|2|7|0|3|4|
|3|5|7|4|6|9|2|3|7|6|2|6|8|3|0|8|
|6|2|2|3|8|2|4|8|4|6|10|6|2|4|8|0|
