16
16
|0|4|9|3|3|2|3|6|3|6|9|6|10|2|9|3|
|4|0|7|8|5|8|6|9|8|5|4|9|2|3|4|4|
|9|7|0|8|7|9|6|4|2|9|7|9|8|5|9|9|
|3|8|8|0|7|3|9|6|10|10|8|8|7|5|5|6|
|3|5|7|7|0|3|9|4|9|7|8|5|5|5|9|7|
|2|8|9|3|3|0|4|4|10|5|9|9|7|2|8|4|
|3|6|6|9|9|4|0|3|5|3|7|8|6|3|8|5|
|6|9|4|6|4|4|3|0|2|9|6|8|6|5|6|7|
|3|8|2|10|9|10|5|2|0|5|4|2|7|8|4|10|
|6|5|9|10|7|5|3|9|5|0|2|5|7|5|2|7|
|9|4|7|8|8|9|7|6|4|2|0|9|5|10|2|8|
|6|9|9|8|5|9|8|8|2|5|9|0|3|9|7|3|
|10|2|8|7|5|7|6|6|7|7|5|3|0|7|4|9|
|2|3|5|5|5|2|3|5|8|5|10|9|7|0|5|2|
|9|4|9|5|9|8|8|6|4|2|2|7|4|5|0|2|
|3|4|9|6|7|4|5|7|10|7|8|3|9|2|2|0|
