16
16
|0|8|8|6|6|3|3|2|9|9|9|10|6|9|6|7|
|8|0|5|7|8|5|7|7|7|8|10|5|4|6|4|6|
|8|5|0|9|5|4|2|5|3|2|3|6|9|3|6|10|
|6|7|9|0|5|4|10|10|3|2|6|2|3|10|5|7|
|6|8|5|5|0|9|3|7|5|4|7|7|6|3|6|7|
|3|5|4|4|9|0|3|2|3|5|7|10|8|4|5|9|
|3|7|2|10|3|3|0|2|7|9|4|6|8|3|5|3|
|2|7|5|10|7|2|2|0|8|10|10|2|5|2|3|7|
|9|7|3|3|5|3|7|8|0|4|7|8|5|8|10|5|
|9|8|2|2|4|5|9|10|4|0|10|8|4|5|2|8|
|9|10|3|6|7|7|4|10|7|10|0|8|5|9|8|7|
|10|5|6|2|7|10|6|2|8|8|8|0|2|10|8|5|
|6|4|9|3|6|8|8|5|5|4|5|2|0|8|4|2|
|9|6|3|10|3|4|3|2|8|5|9|10|8|0|5|10|
|6|4|6|5|6|5|5|3|10|2|8|8|4|5|0|4|
|7|6|10|7|7|9|3|7|5|8|7|5|2|10|4|0|
