16
16
|0|2|10|4|2|6|7|10|2|2|2|4|4|4|5|9|
|2|0|5|6|2|7|4|3|6|10|7|6|3|7|8|8|
|10|5|0|5|10|5|2|9|9|8|7|3|4|9|6|4|
|4|6|5|0|2|4|2|3|7|5|10|7|3|10|3|6|
|2|2|10|2|0|10|9|9|2|6|10|2|3|2|2|8|
|6|7|5|4|10|0|9|9|3|8|3|2|2|4|5|5|
|7|4|2|2|9|9|0|2|6|8|6|4|3|10|9|3|
|10|3|9|3|9|9|2|0|2|6|10|2|5|7|3|5|
|2|6|9|7|2|3|6|2|0|9|8|9|10|2|10|7|
|2|10|8|5|6|8|8|6|9|0|3|10|7|5|3|7|
|2|7|7|10|10|3|6|10|8|3|0|7|6|7|9|7|
|4|6|3|7|2|2|4|2|9|10|7|0|8|10|5|4|
|4|3|4|3|3|2|3|5|10|7|6|8|0|9|9|2|
|4|7|9|10|2|4|10|7|2|5|7|10|9|0|6|7|
|5|8|6|3|2|5|9|3|10|3|9|5|9|6|0|7|
|9|8|4|6|8|5|3|5|7|7|7|4|2|7|7|0|
