16
16
|0|9|4|5|6|5|8|7|2|9|10|7|2|3|3|3|
|9|0|6|6|9|5|8|5|4|8|6|2|9|6|3|7|
|4|6|0|3|4|3|8|7|7|6|10|9|3|10|2|3|
|5|6|3|0|6|9|5|5|8|4|4|7|10|6|6|6|
|6|9|4|6|0|3|5|7|6|5|8|6|3|5|4|9|
|5|5|3|9|3|0|9|2|5|3|5|4|2|10|6|5|
|8|8|8|5|5|9|0|2|10|9|9|4|10|8|3|10|
|7|5|7|5|7|2|2|0|3|3|4|7|8|3|8|8|
|2|4|7|8|6|5|10|3|0|3|5|5|8|6|4|5|
|9|8|6|4|5|3|9|3|3|0|7|6|2|9|10|3|
|10|6|10|4|8|5|9|4|5|7|0|7|6|3|5|2|
|7|2|9|7|6|4|4|7|5|6|7|0|3|8|2|7|
|2|9|3|10|3|2|10|8|8|2|6|3|0|4|3|6|
|3|6|10|6|5|10|8|3|6|9|3|8|4|0|5|2|
|3|3|2|6|4|6|3|8|4|10|5|2|3|5|0|6|
|3|7|3|6|9|5|10|8|5|3|2|7|6|2|6|0|
