21
21
|0|8|7|3|2|4|3|10|3|5|9|9|9|5|9|4|3|7|7|4|8|
|8|0|8|9|7|5|2|7|3|8|2|2|10|10|9|9|5|3|9|5|10|
|7|8|0|3|6|2|8|5|2|7|4|2|5|4|3|4|6|6|6|8|2|
|3|9|3|0|6|10|10|2|5|10|7|8|2|4|8|6|7|9|2|5|10|
|2|7|6|6|0|2|8|6|6|10|4|5|2|6|5|7|8|9|6|10|7|
|4|5|2|10|2|0|7|5|3|4|5|10|3|5|6|9|7|6|6|2|6|
|3|2|8|10|8|7|0|10|2|4|3|7|5|10|6|3|7|10|6|2|6|
|10|7|5|2|6|5|10|0|8|2|2|4|8|3|9|2|4|7|3|4|7|
|3|3|2|5|6|3|2|8|0|5|7|9|5|3|5|8|6|7|3|3|8|
|5|8|7|10|10|4|4|2|5|0|7|2|6|4|3|5|10|6|3|10|4|
|9|2|4|7|4|5|3|2|7|7|0|4|3|4|6|9|7|4|5|8|5|
|9|2|2|8|5|10|7|4|9|2|4|0|10|8|10|2|9|3|4|2|7|
|9|10|5|2|2|3|5|8|5|6|3|10|0|4|6|10|4|2|6|8|5|
|5|10|4|4|6|5|10|3|3|4|4|8|4|0|5|10|5|3|5|8|8|
|9|9|3|8|5|6|6|9|5|3|6|10|6|5|0|5|2|4|10|10|10|
|4|9|4|6|7|9|3|2|8|5|9|2|10|10|5|0|3|7|4|10|7|
|3|5|6|7|8|7|7|4|6|10|7|9|4|5|2|3|0|9|2|4|8|
|7|3|6|9|9|6|10|7|7|6|4|3|2|3|4|7|9|0|10|5|9|
|7|9|6|2|6|6|6|3|3|3|5|4|6|5|10|4|2|10|0|10|2|
|4|5|8|5|10|2|2|4|3|10|8|2|8|8|10|10|4|5|10|0|5|
|8|10|2|10|7|6|6|7|8|4|5|7|5|8|10|7|8|9|2|5|0|
