15
15
|12|9|8|11|8|8|13|9|8|9|11|13|9|13|9|
|10|9|9|8|8|8|14|8|11|11|12|12|9|9|9|
|11|11|13|13|10|9|12|11|9|14|12|13|13|11|12|
|9|9|10|9|8|12|8|10|9|12|13|13|14|9|8|
|10|13|12|11|12|10|8|11|11|9|14|13|8|14|13|
|14|13|14|11|14|9|10|12|9|10|8|12|14|8|9|
|13|9|14|14|9|8|12|13|12|13|14|10|12|10|14|
|11|11|14|8|11|13|9|9|9|11|13|13|14|10|12|
|13|10|11|9|11|8|12|13|9|14|12|13|9|13|8|
|9|14|12|8|10|12|10|12|8|9|11|9|12|10|10|
|13|9|12|8|14|11|13|10|14|13|10|12|8|8|10|
|12|13|12|8|11|13|8|11|13|14|13|13|10|12|13|
|12|13|12|13|12|13|14|9|9|13|13|9|12|9|11|
|14|14|9|9|14|13|9|14|13|8|12|9|10|8|13|
|8|9|10|11|9|11|11|11|8|11|12|11|14|12|9|

