21
21
|0|10|9|5|3|5|3|3|10|7|7|7|4|6|4|8|5|6|2|6|6|
|10|0|2|7|3|5|4|2|4|5|7|3|9|5|4|4|7|3|4|9|5|
|9|2|0|4|4|4|9|10|2|9|3|5|8|3|4|10|2|7|9|5|8|
|5|7|4|0|7|2|5|9|8|2|5|3|5|7|10|10|6|5|7|5|9|
|3|3|4|7|0|5|7|10|9|4|7|6|5|2|10|9|9|8|2|10|8|
|5|5|4|2|5|0|3|6|2|5|4|7|4|5|2|4|5|3|9|7|8|
|3|4|9|5|7|3|0|7|8|9|5|9|9|5|4|9|9|10|10|10|4|
|3|2|10|9|10|6|7|0|6|4|7|10|8|7|6|7|4|10|3|8|5|
|10|4|2|8|9|2|8|6|0|5|7|10|10|5|7|10|10|5|4|6|2|
|7|5|9|2|4|5|9|4|5|0|5|3|9|8|9|8|6|9|7|3|9|
|7|7|3|5|7|4|5|7|7|5|0|5|8|10|6|9|6|4|10|8|9|
|7|3|5|3|6|7|9|10|10|3|5|0|8|10|2|3|10|10|10|9|10|
|4|9|8|5|5|4|9|8|10|9|8|8|0|10|3|6|3|8|3|5|7|
|6|5|3|7|2|5|5|7|5|8|10|10|10|0|8|3|5|5|9|10|8|
|4|4|4|10|10|2|4|6|7|9|6|2|3|8|0|5|9|9|9|6|7|
|8|4|10|10|9|4|9|7|10|8|9|3|6|3|5|0|10|9|9|6|4|
|5|7|2|6|9|5|9|4|10|6|6|10|3|5|9|10|0|3|2|9|9|
|6|3|7|5|8|3|10|10|5|9|4|10|8|5|9|9|3|0|8|5|8|
|2|4|9|7|2|9|10|3|4|7|10|10|3|9|9|9|2|8|0|10|2|
|6|9|5|5|10|7|10|8|6|3|8|9|5|10|6|6|9|5|10|0|2|
|6|5|8|9|8|8|4|5|2|9|9|10|7|8|7|4|9|8|2|2|0|
