20
20
|7|95|59|95|25|89|34|79|38|19|54|87|61|34|28|15|70|2|29|9|
|66|46|57|51|1|89|67|39|50|91|66|35|68|11|53|5|99|11|14|46|
|89|64|62|30|27|46|40|28|28|14|15|71|12|69|11|38|87|33|30|79|
|53|98|57|58|43|83|51|12|93|42|80|54|67|19|21|74|14|99|53|96|
|82|21|27|3|66|49|84|73|98|57|73|69|50|70|50|51|98|93|24|89|
|90|31|43|46|36|29|76|53|83|83|54|12|34|84|7|99|42|82|21|11|
|55|23|63|81|55|12|32|64|36|88|70|12|70|52|37|99|63|98|87|63|
|48|65|71|19|74|47|86|93|70|33|38|37|73|39|52|44|59|75|44|25|
|38|8|19|13|73|42|49|13|59|30|28|41|19|79|57|6|36|27|62|2|
|87|83|20|10|82|81|31|46|30|49|29|2|46|20|54|65|55|57|33|81|
|94|35|95|91|85|53|90|86|86|10|9|59|70|32|79|66|35|55|77|13|
|28|35|43|71|77|3|18|81|16|95|41|77|44|30|70|16|10|71|50|53|
|27|75|73|12|72|17|33|46|49|26|8|33|24|24|58|24|57|76|30|27|
|96|23|30|26|72|14|31|2|4|63|14|59|24|23|72|76|87|23|37|42|
|34|96|99|79|60|86|57|18|5|14|60|9|89|81|75|87|21|57|81|76|
|28|40|80|22|1|22|80|9|22|14|40|34|84|70|29|25|46|73|29|83|
|46|99|61|33|64|53|31|12|74|90|16|62|57|31|8|74|16|51|40|59|
|42|51|57|55|76|46|77|80|34|11|86|76|63|57|43|77|40|28|4|57|
|2|63|28|14|62|19|84|92|26|90|97|66|34|47|60|17|69|70|26|51|
|88|85|49|84|90|92|37|66|55|37|34|80|95|52|54|40|73|81|15|59|
