20
40
|9|13|8|8|10|10|12|12|12|10|10|10|9|9|12|12|12|10|10|10|8|8|8|14|14|10|10|12|12|9|9|8|11|11|11|11|11|9|9|9|
|10|12|11|11|13|13|14|14|14|10|10|10|9|9|10|10|10|10|10|10|8|8|8|13|12|12|12|11|11|13|13|8|12|12|14|14|14|11|12|12|
|14|13|12|12|9|9|8|8|8|13|13|13|14|14|8|8|8|13|13|13|11|11|11|14|14|8|8|11|11|12|12|8|10|10|9|9|9|14|11|11|
|14|10|12|12|8|8|9|9|9|13|13|13|14|14|12|12|12|14|14|14|11|11|11|12|8|11|11|13|13|11|11|14|8|8|9|9|9|10|12|12|
|8|14|11|11|8|8|14|14|14|12|12|12|10|10|11|11|11|8|8|8|10|10|10|13|11|9|9|10|10|11|11|14|13|13|11|11|11|8|8|8|
|14|11|12|12|11|11|13|13|13|14|14|14|12|12|11|11|11|13|13|13|8|8|8|9|8|11|11|14|14|12|12|13|14|14|12|12|12|8|14|14|
|10|11|10|10|10|10|12|12|12|12|12|12|10|10|10|10|10|14|14|14|14|14|14|14|13|10|10|14|14|10|10|11|14|14|13|13|13|12|8|8|
|8|13|8|8|9|9|9|9|9|10|10|10|11|11|13|13|13|12|12|12|9|9|9|12|11|8|8|9|9|10|10|9|12|12|14|14|14|11|10|10|
|14|8|13|13|9|9|10|10|10|9|9|9|11|11|10|10|10|13|13|13|14|14|14|9|13|12|12|11|11|10|10|8|8|8|8|8|8|12|8|8|
|11|12|10|10|14|14|10|10|10|8|8|8|14|14|10|10|10|8|8|8|8|8|8|8|8|10|10|10|10|14|14|13|13|13|13|13|13|12|12|12|
|12|12|12|12|9|9|12|12|12|11|11|11|9|9|8|8|8|9|9|9|10|10|10|12|9|13|13|12|12|8|8|8|14|14|14|14|14|8|14|14|
|11|11|13|13|12|12|14|14|14|13|13|13|14|14|11|11|11|14|14|14|11|11|11|13|11|9|9|10|10|9|9|10|12|12|11|11|11|8|10|10|
|13|14|9|9|14|14|9|9|9|10|10|10|11|11|10|10|10|8|8|8|12|12|12|10|10|9|9|9|9|9|9|11|13|13|8|8|8|14|10|10|
|14|13|14|14|14|14|8|8|8|11|11|11|11|11|9|9|9|12|12|12|14|14|14|14|13|12|12|8|8|13|13|12|8|8|9|9|9|10|10|10|
|8|10|8|8|13|13|11|11|11|11|11|11|12|12|8|8|8|9|9|9|9|9|9|14|12|9|9|13|13|8|8|13|10|10|11|11|11|8|14|14|
|10|13|13|13|12|12|13|13|13|9|9|9|11|11|10|10|10|9|9|9|13|13|13|9|14|13|13|14|14|8|8|9|9|9|11|11|11|11|12|12|
|9|10|9|9|13|13|11|11|11|13|13|13|10|10|10|10|10|11|11|11|13|13|13|8|8|10|10|8|8|8|8|10|9|9|11|11|11|12|9|9|
|12|14|9|9|10|10|11|11|11|10|10|10|10|10|9|9|9|8|8|8|8|8|8|9|8|10|10|9|9|13|13|13|13|13|11|11|11|14|14|14|
|12|12|14|14|9|9|13|13|13|10|10|10|12|12|8|8|8|11|11|11|8|8|8|13|10|9|9|13|13|10|10|13|11|11|13|13|13|11|8|8|
|10|8|8|8|12|12|8|8|8|14|14|14|12|12|8|8|8|8|8|8|14|14|14|12|10|13|13|9|9|14|14|8|13|13|14|14|14|13|13|13|
