16
16
|0|3|5|3|6|4|8|9|3|10|6|6|6|2|2|3|
|3|0|2|3|7|7|5|10|10|5|9|9|8|5|2|5|
|5|2|0|9|4|9|7|7|8|8|6|7|4|2|2|6|
|3|3|9|0|9|4|3|2|7|5|5|2|7|7|5|7|
|6|7|4|9|0|9|2|2|7|5|3|4|6|2|5|7|
|4|7|9|4|9|0|9|9|6|8|7|2|9|7|9|5|
|8|5|7|3|2|9|0|4|10|5|8|5|10|8|10|9|
|9|10|7|2|2|9|4|0|10|9|7|3|10|10|6|6|
|3|10|8|7|7|6|10|10|0|5|2|8|7|5|10|3|
|10|5|8|5|5|8|5|9|5|0|8|6|8|9|10|5|
|6|9|6|5|3|7|8|7|2|8|0|8|5|10|4|5|
|6|9|7|2|4|2|5|3|8|6|8|0|8|7|10|4|
|6|8|4|7|6|9|10|10|7|8|5|8|0|3|7|2|
|2|5|2|7|2|7|8|10|5|9|10|7|3|0|7|8|
|2|2|2|5|5|9|10|6|10|10|4|10|7|7|0|7|
|3|5|6|7|7|5|9|6|3|5|5|4|2|8|7|0|

