15
15
|9|11|10|14|12|12|9|13|14|12|13|8|11|13|12|
|12|9|10|10|10|11|11|11|9|8|12|10|11|10|11|
|10|8|12|12|13|14|10|8|10|10|14|12|12|13|14|
|13|13|12|11|9|14|8|12|9|12|14|11|14|10|9|
|11|14|8|10|9|13|12|11|11|9|14|12|12|14|11|
|14|13|14|8|10|9|11|13|12|10|8|13|9|9|14|
|12|8|10|12|12|8|8|12|14|13|10|8|11|10|14|
|13|11|8|13|12|8|11|8|9|9|13|12|12|12|8|
|9|14|10|9|11|13|10|9|9|13|12|12|14|13|12|
|12|8|8|9|11|11|14|8|12|13|12|11|11|14|8|
|13|9|12|8|12|9|9|12|10|12|8|12|9|12|9|
|10|14|9|8|10|11|14|11|9|9|10|14|13|9|10|
|11|9|8|12|14|11|9|12|9|10|14|9|9|10|9|
|8|12|8|9|11|8|14|11|11|10|14|8|12|12|10|
|11|8|13|8|13|9|9|13|11|9|9|8|10|9|10|


