20
20
|22|4|42|20|2|38|13|11|33|9|1|36|34|3|21|32|28|7|10|29|
|35|32|28|10|36|3|18|33|12|2|25|17|20|40|7|26|11|27|8|1|
|37|16|29|12|34|31|25|27|24|20|11|10|30|38|2|5|1|23|18|6|
|33|35|3|23|24|9|8|37|34|16|12|7|4|15|38|28|6|22|17|31|
|36|14|26|31|41|23|1|20|39|8|15|16|6|13|5|3|19|9|4|32|
|7|33|25|30|40|36|26|6|37|31|18|38|12|11|13|24|2|32|23|3|
|9|15|1|28|12|10|31|39|3|7|2|29|21|17|33|8|32|4|6|19|
|38|9|11|19|39|1|34|28|42|25|4|35|31|26|14|20|18|33|24|36|
|14|36|4|27|31|22|35|41|8|23|17|1|16|12|24|34|7|21|28|13|
|15|7|31|17|5|29|2|40|20|1|10|30|19|6|9|4|16|11|34|28|
|16|30|33|4|32|11|9|31|38|12|7|24|8|25|39|6|29|1|22|23|
|1|2|19|9|28|39|5|38|4|17|24|12|25|31|8|18|30|6|11|35|
|30|31|10|29|42|2|21|1|11|18|32|39|33|16|19|27|8|20|5|9|
|32|1|44|26|13|40|30|10|43|28|23|9|5|29|20|31|27|35|33|34|
|20|34|35|1|18|17|22|15|25|6|8|5|9|39|4|33|3|28|7|14|
|31|22|37|6|11|16|36|5|41|19|9|32|15|14|10|17|21|2|1|18|
|27|19|18|25|6|35|3|36|10|21|37|41|28|1|12|9|17|34|13|26|
|34|37|2|16|27|30|12|4|19|26|3|8|18|9|11|35|5|36|25|15|
|19|8|41|24|33|37|27|26|40|32|22|25|17|10|6|11|20|18|21|30|
|4|20|5|3|30|28|16|34|29|10|33|40|1|18|15|2|9|12|35|27|
